dataset,model,pearson,rmse,mae,qwk
mohler,sbert_classifier,0.6777783028246962,0.8182980036383789,0.6183970924908424,0.5307448786452489
scientsbank,sbert_classifier,0.5885970459023013,1.0039137572817132,0.8692092275877488,0.4396294192710831
beetle,sbert_classifier,0.7283650147884898,0.7553192863515408,0.5977059569074777,0.6492434662998625
mohler,pythia_classifier,0.502964546035484,0.9522751912015405,0.7438552197802197,0.3452106131419578
scientsbank,pythia_classifier,0.5507547036298249,1.0416743531842494,0.9059428236083166,0.3291017368956387
beetle,pythia_classifier,0.7068727082498827,0.7791002374371679,0.6300823827629911,0.5853654154520587
mohler,t5_classifier,0.5746580691278094,0.9066141449260909,0.7032779304029303,0.39375089282235753
scientsbank,t5_classifier,0.5450769880089409,1.05824883726763,0.932076818051164,0.36400059823206676
beetle,t5_classifier,0.7113830027915091,0.7751763567282082,0.6317300380228136,0.6021265866477541
